"Address","Packets","Bytes","Tx Packets","Tx Bytes","Rx Packets","Rx Bytes"
"00:0c:29:a1:85:61",559,185923,228,95962,331,89961
"00:1d:9c:c6:72:e8",99,22714,50,15650,49,7064
"00:1d:9c:c7:ae:dc",252,27515,239,26203,13,1312
"00:1d:9c:c7:b0:70",5258,499388,2853,284710,2405,214678
"00:1d:9c:c7:fa:2d",2038,206535,1089,114727,949,91808
"00:1d:9c:c8:bc:31",2378,229748,1091,109444,1287,120304
"00:1d:9c:c8:bc:46",3272,318753,1648,161681,1624,157072
"00:1d:9c:c8:bd:f2",2727,263137,1480,143721,1247,119416
"00:1d:9c:c8:f4:b9",2553,248971,1230,124489,1323,124482
"00:90:e8:47:16:62",12,1044,6,522,6,522
"01:00:5e:40:02:3f",109,11118,0,0,109,11118
"01:00:5e:40:03:7f",109,11118,0,0,109,11118
"01:00:5e:40:04:bf",109,11118,0,0,109,11118
"01:00:5e:40:05:ff",109,11118,0,0,109,11118
"01:00:5e:40:07:3f",110,11220,0,0,110,11220
"01:00:5e:40:08:7f",109,11118,0,0,109,11118
"01:00:5e:7f:ff:fa",4,1570,0,0,4,1570
"64:00:6a:55:eb:5a",89,61188,38,4480,51,56708
"98:90:96:98:cc:49",79,38318,35,4162,44,34156
"b8:2a:72:d7:b0:ec",16,1370,9,784,7,586
"b8:2a:72:d7:b0:ed",4,328,2,166,2,162
"f0:de:f1:21:ab:9e",3,264,2,162,1,102
"ff:ff:ff:ff:ff:ff",2,150,0,0,2,150
